Date,MaxT,MaxT_Normal,MaxT_Dep,MinT,MinT_Normal,MinT_Dep,AvgT,AvgT_Normal,AvgT_Dep,AtObsT,Precip,Precip_Normal,Precip_Dep,Snow,Snow_Normal,Snow_Dep,SnowDepth,HDD,HDD_Normal,HDD_Dep,CDD,CDD_Normal,CDD_Dep,GDD50
2009-09-05,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-06,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-07,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-08,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-09,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-10,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-11,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-12,M,M,M,M,M,M,M,M,M,58,0.08,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-13,M,M,M,M,M,M,M,M,M,60,0.17,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-14,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-15,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-16,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-17,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-18,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-19,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-20,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-22,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-23,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-24,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-26,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-27,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-28,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-29,M,M,M,M,M,M,M,M,M,45,0.12,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-30,M,M,M,M,M,M,M,M,M,48,0.08,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-01,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-02,M,M,M,M,M,M,M,M,M,40,T,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-03,M,M,M,M,M,M,M,M,M,52,0.82,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-04,M,M,M,M,M,M,M,M,M,55,0.05,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-05,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-06,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-07,M,M,M,M,M,M,M,M,M,54,0.66,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-08,M,M,M,M,M,M,M,M,M,49,0.30,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-09,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-10,M,M,M,M,M,M,M,M,M,54,0.13,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-11,M,M,M,M,M,M,M,M,M,35,T,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-12,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-13,M,M,M,M,M,M,M,M,M,40,0.19,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-14,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-15,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-16,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-17,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-18,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-19,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-20,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-22,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-23,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-24,M,M,M,M,M,M,M,M,M,42,1.08,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-25,M,M,M,M,M,M,M,M,M,47,2.08,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-26,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-27,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-28,M,M,M,M,M,M,M,M,M,47,0.16,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-29,M,M,M,M,M,M,M,M,M,45,0.60,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-30,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-10-31,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
